lr,epoch,feature,train_acc,train_f1,dev_acc,dev_f1
0.01,5,UNIGRAM,0.9491329479768786,0.952186905732138,0.7511467889908257,0.770855332629356
0.01,5,BIGRAM,0.9975433526011561,0.9976477099764771,0.716743119266055,0.7445708376421923
0.01,5,BETTER,0.9644508670520231,0.9656040268456375,0.7993119266055045,0.8013620885357547
0.01,10,UNIGRAM,0.9787572254335261,0.9796652372388989,0.7672018348623854,0.7833511205976521
0.01,10,BIGRAM,0.9997109826589595,0.999722914934885,0.7236238532110092,0.7422459893048128
0.01,10,BETTER,0.9761560693641619,0.9767376286479629,0.8073394495412844,0.8004750593824228
0.01,20,UNIGRAM,0.9894508670520231,0.9898144272359426,0.7752293577981652,0.7762557077625571
0.01,20,BIGRAM,1.0,1.0,0.7350917431192661,0.7502702702702703
0.01,20,BETTER,0.9945086705202312,0.9947382996399889,0.7924311926605505,0.8008800880088008
0.01,25,UNIGRAM,0.991907514450867,0.992196209587514,0.7855504587155964,0.7857961053837343
0.01,25,BIGRAM,1.0,1.0,0.7373853211009175,0.7566418703506907
0.01,25,BETTER,0.9950867052023121,0.9952895538930452,0.7981651376146789,0.8107526881720429
0.05,5,UNIGRAM,0.9395953757225434,0.9422651933701658,0.7603211009174312,0.7764705882352941
0.05,5,BIGRAM,0.998121387283237,0.9982001938252804,0.7339449541284404,0.7516059957173448
0.05,5,BETTER,0.9468208092485549,0.9470503597122302,0.7981651376146789,0.7858880778588808
0.05,10,UNIGRAM,0.9764450867052024,0.9771804563908721,0.768348623853211,0.7699316628701594
0.05,10,BIGRAM,0.9997109826589595,0.9997229916897507,0.7224770642201835,0.7510288065843621
0.05,10,BETTER,0.9855491329479769,0.9861802100608071,0.7970183486238532,0.8069792802617229
0.05,20,UNIGRAM,0.9898843930635838,0.9903207964601769,0.7626146788990825,0.7771797631862217
0.05,20,BIGRAM,1.0,1.0,0.7362385321100917,0.7526881720430108
0.05,20,BETTER,0.9936416184971099,0.9939142461964039,0.7844036697247706,0.7991452991452991
0.05,25,UNIGRAM,0.9936416184971099,0.9938973647711511,0.7844036697247706,0.7911111111111111
0.05,25,BIGRAM,1.0,1.0,0.7293577981651376,0.7417943107221007
0.05,25,BETTER,0.9953757225433526,0.9955617198335646,0.7924311926605505,0.7986651835372636
0.1,5,UNIGRAM,0.9501445086705202,0.9524203558129913,0.7649082568807339,0.7729789590254706
0.1,5,BIGRAM,0.998121387283237,0.9981996953330564,0.7270642201834863,0.7446351931330472
0.1,5,BETTER,0.9595375722543352,0.9605077574047955,0.7993119266055045,0.8018120045300112
0.1,10,UNIGRAM,0.9706647398843931,0.9723470916768833,0.7672018348623854,0.7913669064748201
0.1,10,BIGRAM,0.9997109826589595,0.9997229916897507,0.7224770642201835,0.7510288065843621
0.1,10,BETTER,0.9845375722543352,0.9851161496731117,0.7981651376146789,0.7981651376146788
0.1,20,UNIGRAM,0.9904624277456647,0.9908103592314118,0.7763761467889908,0.7761194029850746
0.1,20,BIGRAM,1.0,1.0,0.731651376146789,0.7439824945295404
0.1,20,BETTER,0.9921965317919075,0.992545554942021,0.7878440366972477,0.8054679284963195
0.1,25,UNIGRAM,0.9936416184971099,0.9938990571270105,0.7672018348623854,0.7756906077348067
0.1,25,BIGRAM,1.0,1.0,0.7327981651376146,0.7570385818561002
0.1,25,BETTER,0.9956647398843931,0.995841419462157,0.7889908256880734,0.7978021978021977
0.5,5,UNIGRAM,0.9228323699421965,0.9209825392127848,0.7694954128440367,0.7490636704119851
0.5,5,BIGRAM,0.9973988439306358,0.9975096845600443,0.7236238532110092,0.750775594622544
0.5,5,BETTER,0.9630057803468208,0.9643751739493459,0.8027522935779816,0.8076062639821029
0.5,10,UNIGRAM,0.9755780346820809,0.9763006590940961,0.7798165137614679,0.7818181818181819
0.5,10,BIGRAM,0.9998554913294798,0.9998614766588171,0.731651376146789,0.7411504424778761
0.5,10,BETTER,0.9852601156069364,0.9858921161825726,0.7970183486238532,0.8039867109634551
0.5,20,UNIGRAM,0.991907514450867,0.9922200611280912,0.7740825688073395,0.7813540510543839
0.5,20,BIGRAM,1.0,1.0,0.7339449541284404,0.7489177489177489
0.5,20,BETTER,0.9942196531791907,0.9944429008057795,0.805045871559633,0.8085585585585585
0.5,25,UNIGRAM,0.9933526011560694,0.993616430752151,0.7706422018348624,0.7811816192560176
0.5,25,BIGRAM,1.0,1.0,0.7327981651376146,0.7481081081081081
0.5,25,BETTER,0.9947976878612717,0.9950179905895378,0.7855504587155964,0.8012752391073326
